tsai_sentences,wc
"Ms. Tsai, who during a failed bid for president in 2012 was criticized by the Kuomintang as being unable to manage the relationship with China, pledged during this campaign to maintain the cross-strait status quo.",39
"Expressions of encouragement for Ms. Tsai have flooded Taiwanese social media, with one viral post portraying her as a mother defending her child from a bully.",29
"In a show of how important the American presence is for Taiwan, the island's president, Ms. Tsai, was joined at the dedication ceremony by her predecessor, Ma Ying-jeou.",34
The opposition Kuomintang -- which ruled China until 1949 and is the Communist Party's preferred dialogue partner in Taiwan -- will use the loss of the third diplomatic ally this year to attack Ms. Tsai and her party's ability to manage cross-strait relations.,47
"The uproar over Ms. Chou's apology was so intense that the president-elect, Tsai Ing-wen of the Democratic Progressive Party, addressed the controversy in her first news conference after declaring victory.",34
"This is the 13th time that the alliance, a civic organization founded in 2003, has run a campaign for Taiwan's return to the United Nations, but the first time since President Tsai Ing-wen, whose Democratic Progressive Party has traditionally favored Taiwan's formal independence from China, took office.",53
"HONG KONG -- President Tsai Ing-wen of Taiwan offered a formal apology on Monday to aboriginal peoples for centuries of ''pain and mistreatment,'' and she promised to take concrete steps to rectify a history of injustice.",43
"Ms. Tsai, who is visiting Central America this week, made two calls to officials in Taiwan seeking updates on the Liaoning's transit, the Central News Agency reported, citing Alex Huang, the president's spokesman.",40
"At the event, Ms. Tsai said that her administration had been committed to deepening relations between Taiwan and the United States, according to the statement.",29
"Ms. Tsai, who joined Twitter in 2010, had previously posted in Chinese, but she stopped in May 2014, primarily because relatively few people in Taiwan use the service, Mr. Chao said.",39
"Taiwan has yet to receive an invitation to the aviation group's forum in Montreal on Tuesday, and the Chinese government in recent months has signaled its displeasure with President Tsai by drastically reducing the number of Taiwanese tour groups allowed to visit the mainland, devastating the island's tourist industry.",52
"Ms. Tsai, the incumbent from the Democratic Progressive Party, drew sharp condemnation from China last week when she visited New York and spoke at Columbia University.",30
China's reaction to Ms. Tsai's pivot away from her predecessor Ma Ying-jeou's close ties to Beijing in favor of closer relations with Washington and Tokyo is being used as a line of attack by the Kuomintang.,38
"Analysts said it may have been meant to put pressure on Taiwan's new president, Tsai Ing-wen, who is more cautious toward China than her predecessor was.",29
"Ms. Tsai, who served as minister of Taiwan's Mainland Affairs Council and as vice premier during the Chen Shui-bian administration, from 2000 to 2008, has degrees from Cornell University Law School and the London School of Economics.",42
"One curious advantage of the Central American relationships for Ms. Tsai is that they allow her to make transit stops in the United States, asserting Taiwan's presence even if she cannot participate in formal diplomatic meetings.",39
"''I also want to emphasize that both sides of the strait have a responsibility to find mutually acceptable means of interaction that are based on dignity and reciprocity,'' Ms. Tsai added.",38
"As president, Ms. Tsai has been more cautious toward China.",13
"In her year-end news conference, Ms. Tsai said she wished to avoid confrontation.",16
"Relations have worsened between Beijing and Taipei since the independence-leaning president of Taiwan, Tsai Ing-wen, was elected in January.",22
"Their actions inspired a generation -- è""¡è‹±æ-‡ Tsai Ing-wen (@iingwen) June 4, 2017 Although Twitter is blocked in China, some citizens who employ virtual private networks to bypass their country's ''great firewall'' are clearly following Ms. Tsai's account, and even the state news media is taking note.",67
"Analysts expect Ms. Tsai to take a more cautious approach to China than did President Ma, who pushed through more than 20 agreements between the two sides.",30
"But in a speech on Monday, Ms. Tsai said Taiwan's 23 million people wanted to maintain their self-rule, and she warned against reading the recent setbacks of her Democratic Progressive Party as a rejection of that principle.",41
